areas_n,neighborhood_n,room_type_n,price
0.0,0.0,0.0,0.44610778443113774
0.25,0.004545454545454545,0.5,0.6736526946107785
0.25,0.00909090909090909,0.0,0.44910179640718567
0.0,0.013636363636363636,0.5,0.26646706586826346
0.25,0.01818181818181818,0.5,0.23952095808383234
0.25,0.022727272727272728,0.5,0.5988023952095809
0.25,0.031818181818181815,0.0,0.23652694610778444
0.25,0.03636363636363636,0.0,0.23652694610778444
0.25,0.04090909090909091,0.5,0.44910179640718567
0.25,0.03636363636363636,0.5,0.4041916167664671
0.25,0.031818181818181815,0.0,0.25449101796407186
0.0,0.045454545454545456,0.0,0.26646706586826346
0.25,0.03636363636363636,0.0,0.25449101796407186
0.0,0.05454545454545454,0.5,0.4191616766467066
0.0,0.05909090909090909,0.5,0.6437125748502994
0.25,0.06363636363636363,0.0,0.4191616766467066
0.0,0.06818181818181818,0.5,0.2964071856287425
0.25,0.01818181818181818,0.5,0.5688622754491018
0.0,0.05454545454545454,0.5,0.8952095808383234
0.0,0.07272727272727272,0.0,0.38922155688622756
0.0,0.07272727272727272,0.0,0.23952095808383234
0.0,0.07272727272727272,0.0,0.3293413173652695
0.0,0.02727272727272727,0.5,0.3592814371257485
0.0,0.07727272727272727,0.0,0.17964071856287425
0.25,0.08181818181818182,0.0,0.23952095808383234
0.25,0.031818181818181815,0.5,0.44910179640718567
0.25,0.08181818181818182,0.0,0.1317365269461078
0.25,0.00909090909090909,0.0,0.14970059880239522
0.25,0.00909090909090909,0.0,0.15568862275449102
0.0,0.09090909090909091,0.0,0.16467065868263475
0.25,0.00909090909090909,0.0,0.14970059880239522
0.0,0.02727272727272727,0.0,0.2095808383233533
0.0,0.045454545454545456,0.0,0.26646706586826346
0.0,0.09545454545454544,0.5,0.25449101796407186
0.0,0.09999999999999999,0.0,0.44910179640718567
0.25,0.10454545454545454,1.0,0.11976047904191617
0.25,0.08636363636363636,0.0,0.2035928143712575
0.0,0.045454545454545456,0.5,0.3592814371257485
0.0,0.05909090909090909,0.0,0.3592814371257485
0.25,0.03636363636363636,0.0,0.4041916167664671
0.25,0.00909090909090909,0.5,0.44910179640718567
0.5,0.11363636363636363,0.0,0.38922155688622756
0.0,0.02727272727272727,0.5,0.3293413173652695
0.0,0.02727272727272727,0.5,0.344311377245509
0.0,0.05909090909090909,0.0,0.23952095808383234
0.0,0.02727272727272727,0.0,0.23952095808383234
0.25,0.03636363636363636,0.5,0.45209580838323354
0.0,0.05454545454545454,0.5,0.6826347305389222
0.0,0.09090909090909091,0.5,0.4311377245508982
0.25,0.11818181818181818,0.5,0.5988023952095809
0.25,0.10454545454545454,0.0,0.3293413173652695
0.25,0.031818181818181815,0.0,0.2065868263473054
0.0,0.09090909090909091,0.0,0.14670658682634732
0.0,0.05454545454545454,0.0,0.23952095808383234
0.25,0.12727272727272726,0.5,0.7485029940119761
0.0,0.013636363636363636,0.0,0.16467065868263475
0.0,0.07272727272727272,0.5,0.6736526946107785
0.25,0.08636363636363636,0.0,0.23952095808383234
0.0,0.05454545454545454,0.5,0.8233532934131736
0.25,0.08636363636363636,0.0,0.2964071856287425
0.25,0.01818181818181818,0.5,0.6736526946107785
0.25,0.08636363636363636,0.5,0.688622754491018
0.25,0.031818181818181815,0.0,0.15269461077844312
0.25,0.13636363636363635,0.0,0.19461077844311378
0.0,0.013636363636363636,0.0,0.31437125748503
0.25,0.08636363636363636,0.5,0.5688622754491018
0.25,0.12727272727272726,0.0,0.5988023952095809
0.0,0.05909090909090909,0.0,0.2844311377245509
0.25,0.06363636363636363,0.0,0.44910179640718567
0.0,0.05454545454545454,0.0,0.43413173652694614
0.25,0.10454545454545454,0.5,0.8532934131736527
0.0,0.09999999999999999,0.5,0.38922155688622756
0.0,0.05454545454545454,0.5,0.31437125748503
0.25,0.08636363636363636,0.0,0.17964071856287425
0.25,0.08636363636363636,0.0,0.14970059880239522
0.0,0.05454545454545454,0.0,0.25449101796407186
0.0,0.09545454545454544,0.0,0.19461077844311378
0.0,0.1318181818181818,0.5,0.3922155688622755
0.0,0.013636363636363636,0.0,0.29341317365269465
0.0,0.1318181818181818,0.5,0.7485029940119761
0.0,0.05454545454545454,0.5,0.29940119760479045
0.0,0.09545454545454544,0.5,0.31437125748503
0.25,0.03636363636363636,0.5,0.4191616766467066
0.25,0.00909090909090909,0.0,0.26646706586826346
0.0,0.02727272727272727,0.5,0.37425149700598803
0.25,0.00909090909090909,0.0,0.17964071856287425
0.0,0.15,0.5,0.5239520958083833
0.25,0.13636363636363635,0.0,0.19461077844311378
0.0,0.05454545454545454,0.0,0.3023952095808383
0.25,0.00909090909090909,0.0,0.29940119760479045
0.25,0.031818181818181815,0.0,0.17664670658682635
0.0,0.013636363636363636,0.0,0.37425149700598803
0.25,0.08636363636363636,0.5,0.4191616766467066
0.25,0.11818181818181818,0.5,0.595808383233533
0.0,0.05454545454545454,0.5,0.9730538922155689
0.25,0.03636363636363636,0.5,0.7035928143712575
0.25,0.08636363636363636,0.5,0.6736526946107785
0.0,0.045454545454545456,0.0,0.2964071856287425
0.25,0.00909090909090909,0.5,0.5089820359281437
0.25,0.03636363636363636,0.5,0.5089820359281437
0.25,0.08636363636363636,0.5,0.29940119760479045
0.0,0.10909090909090909,0.0,0.22455089820359284
0.0,0.05454545454545454,0.0,0.2694610778443114
0.25,0.12727272727272726,0.5,0.44910179640718567
0.0,0.02727272727272727,0.0,0.2095808383233533
0.25,0.00909090909090909,0.5,0.3592814371257485
0.0,0.013636363636363636,0.0,0.26646706586826346
0.25,0.08636363636363636,0.5,0.5538922155688623
0.0,0.09090909090909091,0.0,0.14970059880239522
0.25,0.10454545454545454,0.5,0.31437125748503
0.25,0.031818181818181815,0.0,0.38922155688622756
0.0,0.1590909090909091,0.0,0.23053892215568864
0.0,0.013636363636363636,0.0,0.22754491017964074
0.0,0.02727272727272727,0.5,0.37425149700598803
0.0,0.013636363636363636,0.0,0.4041916167664671
0.0,0.05454545454545454,0.5,0.595808383233533
0.0,0.16363636363636364,0.5,0.4191616766467066
0.5,0.16818181818181818,0.0,0.4191616766467066
0.0,0.02727272727272727,0.5,0.344311377245509
0.0,0.05454545454545454,0.5,0.47904191616766467
0.0,0.05454545454545454,0.5,0.5838323353293413
0.25,0.08636363636363636,0.5,0.5838323353293413
0.0,0.05454545454545454,0.0,0.23952095808383234
0.0,0.05909090909090909,0.0,0.1317365269461078
0.25,0.049999999999999996,0.0,0.46706586826347307
0.0,0.05454545454545454,0.0,0.37425149700598803
0.25,0.01818181818181818,0.0,0.2065868263473054
0.0,0.05454545454545454,0.5,0.37425149700598803
0.25,0.12727272727272726,0.5,0.655688622754491
0.25,0.12727272727272726,0.5,0.2964071856287425
0.0,0.05454545454545454,0.0,0.2065868263473054
0.0,0.02727272727272727,0.5,0.4041916167664671
0.0,0.18181818181818182,0.0,0.7485029940119761
0.25,0.12727272727272726,0.5,0.7485029940119761
0.0,0.15454545454545454,0.5,0.7485029940119761
0.25,0.00909090909090909,0.5,0.23952095808383234
0.0,0.013636363636363636,0.0,0.2095808383233533
0.0,0.15,0.5,0.4940119760479042
0.75,0.18636363636363634,0.0,0.2095808383233533
0.0,0.09545454545454544,0.0,0.14970059880239522
1.0,0.1909090909090909,0.0,0.11976047904191617
0.0,0.05454545454545454,0.5,0.44910179640718567
0.25,0.08636363636363636,0.0,0.37425149700598803
0.25,0.19545454545454544,0.5,0.5868263473053893
0.0,0.05909090909090909,0.0,0.3293413173652695
0.25,0.049999999999999996,0.5,0.5089820359281437
0.25,0.00909090909090909,0.5,0.4940119760479042
0.25,0.00909090909090909,0.5,0.29940119760479045
0.0,0.05909090909090909,0.0,0.19461077844311378
0.25,0.20454545454545453,0.0,0.2964071856287425
0.0,0.05454545454545454,0.5,0.5988023952095809
0.0,0.07272727272727272,0.5,0.44910179640718567
0.0,0.02727272727272727,0.0,0.2694610778443114
0.0,0.1318181818181818,0.0,0.3592814371257485
0.25,0.12727272727272726,0.0,0.22455089820359284
0.25,0.06363636363636363,0.5,0.37425149700598803
0.25,0.031818181818181815,0.5,0.8233532934131736
0.25,0.10454545454545454,0.5,0.8952095808383234
0.0,0.045454545454545456,0.5,0.4041916167664671
0.25,0.10454545454545454,0.0,0.24850299401197606
0.25,0.06363636363636363,0.0,0.36826347305389223
0.5,0.20909090909090908,0.0,0.16467065868263475
0.25,0.031818181818181815,0.5,0.5838323353293413
0.0,0.02727272727272727,0.0,0.23952095808383234
0.5,0.19999999999999998,0.0,0.4191616766467066
0.5,0.21363636363636362,0.5,0.7934131736526947
0.0,0.05454545454545454,0.5,0.7455089820359282
0.25,0.031818181818181815,1.0,0.31437125748503
0.0,0.1318181818181818,0.0,0.29940119760479045
0.25,0.00909090909090909,0.5,0.36227544910179643
1.0,0.1909090909090909,0.0,0.1347305389221557
0.25,0.01818181818181818,0.0,0.29940119760479045
0.0,0.05454545454545454,0.5,0.4191616766467066
0.0,0.02727272727272727,0.0,0.2125748502994012
0.25,0.21818181818181817,0.0,0.38922155688622756
0.25,0.049999999999999996,0.5,0.595808383233533
0.0,0.05454545454545454,0.0,0.2065868263473054
0.0,0.05909090909090909,0.0,0.2035928143712575
0.25,0.08636363636363636,0.5,0.38922155688622756
0.0,0.09090909090909091,0.5,0.5838323353293413
0.25,0.00909090909090909,0.0,0.19161676646706588
0.5,0.22272727272727272,0.5,0.4191616766467066
